,Premiums Paid,Age,Days to Renew,Claims made,Income,clust
0,2800,26,233,3890.076336,28000,2
1,2950,27,130,2294.444444,29500,3
2,3100,28,144,2564.545455,31000,3
3,3250,30,65,1978.26087,32500,3
4,3400,32,56,2009.090909,34000,3
5,3550,35,89,2349.454545,35500,3
6,3700,44,95,2503.345725,37000,3
7,3850,45,48,2217.405063,38500,3
8,4000,46,76,2527.777778,40000,3
9,6225,56,200,6908.231707,41500,2
10,6450,67,211,7672.54902,43000,2
11,6675,69,245,10208.82353,44500,2
12,6900,70,261,12192.23301,46000,2
13,4750,34,278,10052.32558,47500,2
14,4900,44,182,4900.0,49000,2
15,7575,45,60,4535.032895,50500,3
16,5200,23,12,2688.636364,52000,3
17,8025,53,2,4034.668508,53500,3
18,5500,48,1,2757.575758,55000,3
19,5650,49,14,2938.0,56500,3
20,5800,41,17,3042.074928,58000,3
21,5950,42,65,3621.73913,59500,3
22,9150,50,56,5406.818182,61000,3
23,6250,26,89,4136.363636,62500,3
24,6400,27,95,4330.111524,64000,3
25,6550,28,48,3772.468354,65500,3
26,6700,30,76,4234.027778,67000,3
27,6850,32,39,3836.0,68500,3
28,7000,35,34,3860.606061,70000,3
29,7150,44,57,4238.762215,71500,3
30,7300,45,85,4762.007168,73000,3
31,7450,46,165,6813.567839,74500,2
32,11400,56,234,15960.0,76000,2
33,11625,67,256,19590.27778,77500,2
34,11850,69,233,16463.35878,79000,2
35,12075,70,321,51108.13953,80500,2
36,8200,34,233,11392.36641,82000,2
37,12525,44,130,9741.666667,83500,0
38,12750,45,144,10547.72727,85000,0
39,12975,23,65,7897.826087,86500,0
40,13200,53,56,7800.0,88000,0
41,8950,48,89,5923.272727,89500,0
42,9100,49,95,6156.877323,91000,0
43,9250,41,48,5327.531646,92500,0
44,9400,42,76,5940.277778,94000,0
45,14325,50,123,10818.04979,95500,0
46,9700,26,156,8487.5,97000,0
47,9850,27,245,15064.70588,98500,2
48,10000,28,261,17669.90291,100000,2
49,10150,30,278,21480.23256,101500,2
50,10300,32,182,10300.0,103000,2
51,10450,35,60,6256.25,104500,0
52,10600,44,12,5480.681818,106000,0
53,10750,45,2,5404.696133,107500,0
54,10900,46,1,5465.013774,109000,0
55,16575,56,14,8619.0,110500,0
56,16800,67,17,8811.527378,112000,0
57,17025,69,65,10363.04348,113500,0
58,23000,70,56,13590.90909,115000,1
59,11650,34,89,7710.181818,116500,0
60,11800,44,95,7983.643123,118000,0
61,11950,45,48,6882.594937,119500,0
62,12100,23,76,7646.527778,121000,0
63,18375,53,39,10290.0,122500,0
64,12400,48,34,6838.787879,124000,0
65,12550,49,57,7440.065147,125500,0
66,12700,41,85,8284.587814,127000,0
67,12850,42,165,11752.26131,128500,0
68,19500,50,234,27300.0,130000,1
69,13150,32,256,22160.18519,131500,2
70,13300,34,233,18477.8626,133000,2
71,13450,36,321,56927.90698,134500,2
72,13600,39,65,8278.26087,136000,0
73,13750,42,56,8125.0,137500,0
74,13900,44,89,9199.272727,139000,0
75,14050,45,95,9505.947955,140500,0
76,14200,48,48,8178.481013,142000,0
77,14350,49,76,9068.402778,143500,0
78,21750,54,39,12180.0,145000,0
79,14650,32,34,8079.69697,146500,0
80,29600,77,57,17547.88274,148000,1
81,29900,82,85,19504.6595,149500,1
82,15100,34,165,13810.05025,151000,0
83,15250,56,234,21350.0,152500,1
84,23100,63,256,38927.77778,154000,1
85,23325,62,233,32405.72519,155500,1
86,23550,59,321,99676.74419,157000,1
87,23775,58,233,33030.91603,158500,1
88,24000,52,130,18666.66667,160000,1
89,16150,45,144,13360.45455,161500,0
90,24450,54,65,14882.6087,163000,1
91,16450,36,56,9720.454545,164500,0
92,16600,82,89,10986.18182,166000,1
93,16750,34,95,11332.71375,167500,0
94,25350,56,48,14600.31646,169000,1
95,25575,63,76,16161.97917,170500,1
96,25800,62,166,23715.15152,172000,1
97,26025,59,167,24043.40102,173500,1
98,26250,58,245,40147.05882,175000,1
99,26475,52,261,46781.06796,176500,1
