,clust,Customer ID,Avg Monthly Long Distance Charges,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
0,0,8779-QRDMV,0.0,39.65,39.65,0.0,20,0.0,59.65,1,0,0,0,0,0,0,1,1,0,0
1,3,7495-OOKFY,48.85,80.65,633.3,0.0,0,390.8,1024.1,0,0,0,0,0,1,0,1,0,1,0
2,0,1658-BYGOY,11.33,95.45,1752.55,45.61,0,203.94,1910.88,0,0,0,0,1,0,0,1,1,0,0
3,0,4598-XLKNJ,19.76,98.5,2514.5,13.43,0,494.00000000000006,2995.07,0,0,0,1,0,0,0,1,1,0,0
4,0,4846-WHAFZ,6.33,76.5,2868.15,0.0,0,234.21,3102.36,0,0,0,1,0,0,0,1,1,0,0
5,0,4412-YLTKF,3.33,78.05,2135.5,0.0,10,89.91,2235.41,0,0,0,1,0,0,0,1,1,0,0
6,3,0390-DCFDQ,15.28,70.45,70.45,0.0,0,15.28,85.73,0,0,0,0,0,1,0,1,0,0,1
7,0,3445-HXXGF,0.0,45.3,2651.2,40.95,0,0.0,2610.25,0,0,1,0,0,0,0,1,1,0,0
8,3,2656-FMOKZ,44.07,74.45,1145.7,0.0,0,661.05,1806.75,0,0,0,0,1,0,0,1,0,0,1
9,2,2070-FNEXE,26.95,76.45,503.6,11.05,0,188.65,681.2,0,0,0,0,0,1,1,0,1,0,0
10,0,0094-OIFMO,11.59,95.0,1120.3,0.0,120,127.49,1367.79,0,0,0,0,1,0,0,1,1,0,0
11,0,9947-OTFQU,29.11,74.4,1074.3,0.0,0,436.65,1510.9499999999998,0,0,0,0,1,0,0,1,1,0,0
12,2,9514-JDSKI,0.0,40.2,40.2,0.0,0,0.0,40.2,0,0,0,0,0,1,1,0,1,0,0
13,0,7273-TEFQD,0.0,41.15,132.2,0.0,0,0.0,132.2,0,0,0,0,0,1,0,1,1,0,0
14,0,3606-TWKGI,32.68,106.9,1364.3,0.0,10,424.84,1799.1399999999999,0,0,0,0,1,0,0,1,1,0,0
15,0,4385-GZQXV,9.43,94.45,1511.2,0.0,0,150.88,1662.08,0,0,0,0,1,0,0,1,1,0,0
